"coderid","c0","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","n"
"coder1",14,4,5,15,5,0,9,2,3,5,23,31,2,2,13,9,0,3,16,3,0,164
"coder2",0,1,5,12,6,0,10,1,2,7,23,31,3,4,12,8,0,3,33,3,0,164
"coder3",0,1,5,12,6,0,22,0,2,5,22,33,1,3,11,8,0,4,27,2,0,164
"coder4",9,2,3,26,5,1,12,0,2,5,23,40,4,3,13,5,0,1,8,1,0,163
"coder5",29,2,5,13,4,0,9,1,2,5,18,25,0,3,9,7,0,3,26,3,0,164
"coder6",1,3,4,22,6,0,11,1,2,6,23,23,3,3,14,8,0,3,28,3,0,164
"coder7",2,2,6,8,6,0,11,0,1,5,22,25,1,2,18,10,0,2,31,3,0,155
"coder8",11,1,6,14,5,0,7,1,2,6,23,30,5,5,14,10,0,1,22,1,0,164
"coder9",1,1,3,15,6,0,9,1,2,8,23,40,3,2,2,13,0,3,28,4,0,164
"coder10",8,1,1,25,6,0,11,0,2,7,25,16,2,2,22,8,0,3,23,2,0,164
"coder11",9,6,3,14,6,0,6,1,2,7,24,40,3,3,12,8,0,3,14,3,0,164
"coder12",0,0,6,21,6,0,20,2,2,6,22,31,3,2,14,7,0,3,16,3,0,164
